,watch_code,watch_brand,watch_collection,watch_reference,watch_price,watch_movement,watch_case,watch_dial,watch_strap,watch_markers,watch_guarantee,watch_category,watch_recipient
0,17580962,Audemars Piguet,Royal Oak Offshore,26420TI.OO.A027CA.01,"£33,000.00",Automatic,Titanium,Blue,Rubber,Batons,Audemars Piguet 2 Year Guarantee,Watches,For Him
1,17580961,Audemars Piguet,Royal Oak Offshore,26420SO.OO.A600CA.01,"£34,100.00",Automatic,Ceramic & Stainless Steel,Brown,Rubber,Batons,Audemars Piguet 2 Year Guarantee,Watches,For Him
2,17580960,Audemars Piguet,Royal Oak Offshore,26420SO.OO.A002CA.01,"£34,100.00",Automatic,Ceramic & Stainless Steel,Black,Rubber,Batons,Audemars Piguet 2 Year Guarantee,Watches,For Him
3,17580959,Audemars Piguet,Royal Oak Offshore,26420RO.OO.A002CA.01,"£51,100.00",Automatic,Ceramic & 18ct Rose Gold,Black,Rubber,Batons,Audemars Piguet 2 Year Guarantee,Watches,For Him
4,17580958,Audemars Piguet,Royal Oak Offshore,26420IO.OO.A009CA.01,"£34,100.00",Automatic,null,Grey,Rubber,Batons,Audemars Piguet 2 Year Guarantee,Watches,For Him
5,17580945,Audemars Piguet,Royal Oak Diver Offshore,15720ST.OO.A052CA.01,"£23,100.00",Automatic,Stainless Steel,Green,Rubber,Batons,Audemars Piguet 2 Year Guarantee,Watches,For Him
6,17580910,Audemars Piguet,Royal Oak Diver Offshore,15720ST.OO.A027CA.01,"£23,100.00",Automatic,Stainless Steel,Navy,Rubber,Batons,Audemars Piguet 2 Year Guarantee,Watches,For Him
7,17580909,Audemars Piguet,Royal Oak Diver Offshore,15720ST.OO.A009CA.01,"£23,100.00",Automatic,Stainless Steel,Grey,Rubber,Batons,Audemars Piguet 2 Year Guarantee,Watches,For Him
8,17580888,Audemars Piguet,Royal Oak Offshore,26231OR.ZZ.D003CA.01,"£44,700.00",Automatic,18ct Rose Gold,Silver,Rubber,Batons,Audemars Piguet 2 Year Guarantee,Watches,For Her
9,17580887,Audemars Piguet,Royal Oak Offshore,26231ST.ZZ.D027CA.01,"£30,300.00",Automatic,Stainless Steel,Blue,Rubber,Batons,Audemars Piguet 2 Year Guarantee,Watches,For Her
